configId,state,year,regime,startDate,endDate,durationDays,maxDamageState,maxDrawdownPct,maxVarLossPct,maxEwmaPct,minDailyReturnPct
v04a_confirmation_stress,watch,2023,Recovery,2023-08-04,2023-11-02,91,stress,-17.521855,2.461015,2.365425,-8.027079
v04a_confirmation_stress,normal,2023,Recovery,2023-11-03,2023-12-28,56,normal,-4.658308,2.42041,1.700475,-3.626304
v04a_confirmation_stress,normal,2024,ETF/Bull,2024-01-05,2024-01-24,20,normal,-15.374203,,2.1947,-4.982989
v04a_confirmation_stress,watch,2024,ETF/Bull,2024-01-25,2024-02-08,15,watch,-12.67505,,2.129503,0.343406
v04a_confirmation_stress,normal,2024,ETF/Bull,2024-02-09,2024-03-27,48,normal,-10.843526,4.959088,2.695495,-5.614032
v04a_confirmation_stress,watch,2024,ETF/Bull,2024-03-28,2024-06-06,71,stress,-14.640039,4.959088,2.577754,-4.59054
v04a_confirmation_stress,normal,2024,ETF/Bull,2024-06-07,2024-06-20,14,normal,-8.503374,2.442482,1.995059,-3.403293
v04a_confirmation_stress,watch,2024,ETF/Bull,2024-06-21,2024-07-04,14,watch,-13.585606,3.193074,1.909134,-3.767477
v04a_confirmation_stress,stress,2024,ETF/Bull,2024-07-05,2024-07-05,1,stress,-22.322262,3.193074,1.76467,
v04a_confirmation_stress,watch,2024,ETF/Bull,2024-07-06,2024-11-07,125,stress,-23.419236,3.439946,2.289569,-4.222651
v04a_confirmation_stress,normal,2024,ETF/Bull,2024-11-08,2024-12-26,49,normal,-10.212435,3.391634,3.355019,-6.247014
v04a_confirmation_stress,normal,2025,Mixed,2025-01-03,2025-02-19,48,normal,-9.963264,2.554838,2.101418,-3.621218
v04a_confirmation_stress,watch,2025,Mixed,2025-02-20,2025-03-08,17,stress,-19.993622,3.013732,2.545783,-8.626384
v04a_confirmation_stress,stress,2025,Mixed,2025-03-09,2025-03-15,7,stress,-23.341457,3.227019,2.571334,-2.942812
v04a_confirmation_stress,watch,2025,Mixed,2025-03-16,2025-03-20,5,stress,-23.467478,3.227019,2.24026,-1.485455
v04a_confirmation_stress,stress,2025,Mixed,2025-03-21,2025-03-21,1,stress,-21.403685,3.227019,2.183717,-2.133043
v04a_confirmation_stress,watch,2025,Mixed,2025-03-22,2025-04-06,16,stress,-22.797783,3.227019,2.120206,-0.656533
v04a_confirmation_stress,stress,2025,Mixed,2025-04-07,2025-04-07,1,stress,-25.878051,3.227019,2.000616,-3.98987
v04a_confirmation_stress,watch,2025,Mixed,2025-04-08,2025-04-08,1,stress,-24.672281,3.751227,1.980175,1.626739
v04a_confirmation_stress,stress,2025,Mixed,2025-04-09,2025-04-13,5,stress,-26.397829,3.751227,2.134673,-2.290722
v04a_confirmation_stress,watch,2025,Mixed,2025-04-14,2025-05-20,37,stress,-22.21878,3.227019,1.936357,-1.521524
v04a_confirmation_stress,normal,2025,Mixed,2025-05-21,2025-06-16,27,normal,-5.614361,1.944583,1.475161,-2.248862
v04a_confirmation_stress,watch,2025,Mixed,2025-06-17,2025-07-09,23,stress,-8.121291,2.000503,1.554418,-2.559908
v04a_confirmation_stress,normal,2025,Mixed,2025-07-10,2025-08-10,32,normal,-3.192282,2.228056,1.973332,-2.202626
v04a_confirmation_stress,watch,2025,Mixed,2025-08-11,2025-08-12,2,watch,-1.65094,1.975073,1.415144,-0.803335
v04a_confirmation_stress,normal,2025,Mixed,2025-08-13,2025-08-26,14,normal,-9.138825,2.45656,1.539109,-2.946075
v04a_confirmation_stress,watch,2025,Mixed,2025-08-27,2025-10-03,38,stress,-8.580512,2.45656,1.452171,-2.091057
v04a_confirmation_stress,normal,2025,Mixed,2025-10-04,2025-10-19,16,normal,-15.226599,4.741608,2.494115,-7.368192
v04a_confirmation_stress,watch,2025,Mixed,2025-10-20,2025-11-13,25,stress,-18.962159,4.973641,2.367455,-4.29694
v04a_confirmation_stress,stress,2025,Mixed,2025-11-14,2025-11-17,4,stress,-23.593558,6.233757,2.462715,-6.811762
v04a_confirmation_stress,watch,2025,Mixed,2025-11-18,2025-11-18,1,stress,,6.233757,2.255154,
v04a_confirmation_stress,stress,2025,Mixed,2025-11-19,2025-11-26,8,stress,-32.756283,6.233757,2.983408,-8.522184
v04a_confirmation_stress,watch,2025,Mixed,2025-11-27,2025-12-10,14,stress,-28.898934,5.680092,2.556861,-1.893342
v04a_confirmation_stress,stress,2025,Mixed,2025-12-11,2025-12-11,1,stress,-27.676409,5.680092,2.361177,-2.349357
v04a_confirmation_stress,watch,2025,Mixed,2025-12-12,2025-12-12,1,stress,-25.723797,5.680092,2.382854,2.699827
v04a_confirmation_stress,stress,2025,Mixed,2025-12-13,2025-12-17,5,stress,-29.410852,5.680092,2.364265,-2.051156
v04a_confirmation_stress,watch,2025,Mixed,2025-12-18,2025-12-22,5,stress,-29.304047,4.80368,2.186846,-1.377267
v04a_confirmation_stress,stress,2025,Mixed,2025-12-23,2025-12-23,1,stress,-29.897676,4.80368,2.079856,-2.911726
