date,symbol,fundingRateTimestamp,fundingRate
2020-06-07,BTCUSDT,1591545600000,0.0001
2020-06-08,BTCUSDT,1591574400000,0.0001
2020-06-08,BTCUSDT,1591603200000,0.0001
2020-06-08,BTCUSDT,1591632000000,0.0001
2020-06-09,BTCUSDT,1591660800000,0.0001
2020-06-09,BTCUSDT,1591689600000,0.0001
2020-06-09,BTCUSDT,1591718400000,0.0001
2020-06-10,BTCUSDT,1591747200000,0.0001
2020-06-10,BTCUSDT,1591776000000,0.0001
2020-06-10,BTCUSDT,1591804800000,0.0001
2020-06-11,BTCUSDT,1591833600000,0.0001
2020-06-11,BTCUSDT,1591862400000,0.0001
2020-06-11,BTCUSDT,1591891200000,0.0001
2020-06-12,BTCUSDT,1591920000000,0.0001
2020-06-12,BTCUSDT,1591948800000,0.0001
2020-06-12,BTCUSDT,1591977600000,0.0001
2020-06-13,BTCUSDT,1592006400000,0.0001
2020-06-13,BTCUSDT,1592035200000,0.0001
2020-06-13,BTCUSDT,1592064000000,0.0001
2020-06-14,BTCUSDT,1592092800000,0.0001
2020-06-14,BTCUSDT,1592121600000,0.0001
2020-06-14,BTCUSDT,1592150400000,0.0001
2020-06-15,BTCUSDT,1592179200000,0.0001
2020-06-15,BTCUSDT,1592208000000,0.0001
2020-06-15,BTCUSDT,1592236800000,0.0001
2020-06-16,BTCUSDT,1592265600000,0.0001
2020-06-16,BTCUSDT,1592294400000,0.00009598
2020-06-16,BTCUSDT,1592323200000,0.0001
2020-06-17,BTCUSDT,1592352000000,0.0001
2020-06-17,BTCUSDT,1592380800000,0.0001
2020-06-17,BTCUSDT,1592409600000,0.0001
2020-06-18,BTCUSDT,1592438400000,0.0001
2020-06-18,BTCUSDT,1592467200000,0.0001
2020-06-18,BTCUSDT,1592496000000,0.0001
2020-06-19,BTCUSDT,1592524800000,0.0001
2020-06-19,BTCUSDT,1592553600000,0.0001
2020-06-19,BTCUSDT,1592582400000,0.0001
2020-06-20,BTCUSDT,1592611200000,0.0001
2020-06-20,BTCUSDT,1592640000000,0.0001
2020-06-20,BTCUSDT,1592668800000,0.0001
2020-06-21,BTCUSDT,1592697600000,0.0001
2020-06-21,BTCUSDT,1592726400000,0.0001
2020-06-21,BTCUSDT,1592755200000,0.0001
2020-06-22,BTCUSDT,1592784000000,0.0001
2020-06-22,BTCUSDT,1592812800000,0.0001
2020-06-22,BTCUSDT,1592841600000,0.0001
2020-06-23,BTCUSDT,1592870400000,0.0001
2020-06-23,BTCUSDT,1592899200000,0.0001
2020-06-23,BTCUSDT,1592928000000,0.0001
2020-06-24,BTCUSDT,1592956800000,0.0001
2020-06-24,BTCUSDT,1592985600000,0.0001
2020-06-24,BTCUSDT,1593014400000,0.0001
2020-06-25,BTCUSDT,1593043200000,0.0001
2020-06-25,BTCUSDT,1593072000000,0.0001
2020-06-25,BTCUSDT,1593100800000,0.0001
2020-06-26,BTCUSDT,1593129600000,0.0001
2020-06-26,BTCUSDT,1593158400000,0.0001
2020-06-26,BTCUSDT,1593187200000,0.0001
2020-06-27,BTCUSDT,1593216000000,0.0001
2020-06-27,BTCUSDT,1593244800000,0.0001
2020-06-27,BTCUSDT,1593273600000,0.0001
2020-06-28,BTCUSDT,1593302400000,0.0001
2020-06-28,BTCUSDT,1593331200000,0.0001
2020-06-28,BTCUSDT,1593360000000,0.0001
2020-06-29,BTCUSDT,1593388800000,0.0001
2020-06-29,BTCUSDT,1593417600000,0.0001
2020-06-29,BTCUSDT,1593446400000,0.0001
2020-06-30,BTCUSDT,1593475200000,0.0001
2020-06-30,BTCUSDT,1593504000000,0.0001
2020-06-30,BTCUSDT,1593532800000,0.0001
2020-07-01,BTCUSDT,1593561600000,0.0001
2020-07-01,BTCUSDT,1593590400000,0.0001
2020-07-01,BTCUSDT,1593619200000,0.0001
2020-07-02,BTCUSDT,1593648000000,0.0001
2020-07-02,BTCUSDT,1593676800000,0.0001
2020-07-02,BTCUSDT,1593705600000,0.0001
2020-07-03,BTCUSDT,1593734400000,0.0001
2020-07-03,BTCUSDT,1593763200000,0.0001
2020-07-03,BTCUSDT,1593792000000,0.0001
2020-07-04,BTCUSDT,1593820800000,0.0001
2020-07-04,BTCUSDT,1593849600000,0.0001
2020-07-04,BTCUSDT,1593878400000,0.0001
2020-07-05,BTCUSDT,1593907200000,0.0001
2020-07-05,BTCUSDT,1593936000000,0.0001
2020-07-05,BTCUSDT,1593964800000,0.0001
2020-07-06,BTCUSDT,1593993600000,0.0001
2020-07-06,BTCUSDT,1594022400000,0.0001
2020-07-06,BTCUSDT,1594051200000,0.0001
2020-07-07,BTCUSDT,1594080000000,0.0001
2020-07-07,BTCUSDT,1594108800000,0.0001
2020-07-07,BTCUSDT,1594137600000,0.0001
2020-07-08,BTCUSDT,1594166400000,0.0001
2020-07-08,BTCUSDT,1594195200000,0.0001
2020-07-08,BTCUSDT,1594224000000,0.0001
2020-07-09,BTCUSDT,1594252800000,0.0001
2020-07-09,BTCUSDT,1594281600000,0.0001
2020-07-09,BTCUSDT,1594310400000,0.0001
2020-07-10,BTCUSDT,1594339200000,0.0001
2020-07-10,BTCUSDT,1594368000000,0.0001
2020-07-10,BTCUSDT,1594396800000,0.0001
2020-07-11,BTCUSDT,1594425600000,0.0001
2020-07-11,BTCUSDT,1594454400000,0.0001
2020-07-11,BTCUSDT,1594483200000,0.00002124
2020-07-12,BTCUSDT,1594512000000,0.0001
2020-07-12,BTCUSDT,1594540800000,0.0001
2020-07-12,BTCUSDT,1594569600000,0.0001
2020-07-13,BTCUSDT,1594598400000,0.0001
2020-07-13,BTCUSDT,1594627200000,0.0001
